User_ID,Date,Time,Hours_per_day,While_working,Instrumentalist,Composer,Fav_genre,Exploratory,Foreign_languages,Anxiety,Depression,Insomnia,OCD,Music_effects
1,8/27/2022,19:29:02,3,Yes,Yes,Yes,Latin,Yes,Yes,3,0,1,0,Improve
2,8/27/2022,19:57:31,1.5,Yes,No,No,Rock,Yes,No,7,2,2,1,Improve
3,8/27/2022,21:28:18,4,No,No,No,Video game music,No,Yes,7,7,10,2,No effect
4,8/27/2022,21:40:40,2.5,Yes,No,Yes,Jazz,Yes,Yes,9,7,3,3,Improve
5,8/27/2022,21:54:47,4,Yes,No,No,R&B,Yes,No,7,2,5,9,Improve
6,8/27/2022,21:56:50,5,Yes,Yes,Yes,Jazz,Yes,Yes,8,8,7,7,Improve
7,8/27/2022,22:00:29,3,Yes,Yes,No,Video game music,Yes,Yes,4,8,6,0,Improve
8,8/27/2022,22:18:59,1,Yes,No,No,K pop,Yes,Yes,5,3,5,3,Improve
9,8/27/2022,22:33:05,6,Yes,No,No,Rock,No,No,2,0,0,0,Improve
10,8/27/2022,22:44:03,1,Yes,No,No,R&B,Yes,Yes,2,2,5,1,Improve
11,8/27/2022,22:51:15,3,Yes,Yes,No,Country,Yes,No,7,7,4,7,No effect
12,8/27/2022,23:00:32,8,Yes,No,No,EDM,Yes,No,1,0,0,1,Improve
13,8/27/2022,23:04:00,3,Yes,No,No,Hip hop,Yes,Yes,9,3,2,7,Improve
14,8/27/2022,23:12:03,2,Yes,No,No,Country,Yes,No,2,1,2,0,Improve
15,8/27/2022,23:16:06,4,Yes,Yes,No,Jazz,Yes,Yes,6,4,7,0,Improve
16,8/27/2022,23:19:52,2,No,No,No,Pop,Yes,Yes,7,5,4,1,Worsen
17,8/27/2022,23:39:41,8,Yes,No,No,Hip hop,Yes,Yes,8,8,4,3,Improve
18,8/27/2022,23:39:49,12,Yes,No,Yes,Hip hop,Yes,Yes,5,7,10,0,Improve
19,8/27/2022,23:40:55,24,Yes,No,No,Rap,Yes,No,7,5,0,3,Improve
20,8/27/2022,23:41:36,3,No,No,No,Hip hop,No,No,7,3,0,2,Improve
21,8/27/2022,23:43:06,8,Yes,No,No,Hip hop,Yes,Yes,6,9,3,0,Improve
22,8/28/2022,0:28:02,4,Yes,No,No,Rap,Yes,No,10,10,2,4,Improve
23,8/28/2022,1:39:02,5,Yes,No,No,R&B,Yes,Yes,6,7,5,4,Improve
24,8/28/2022,3:19:08,2,Yes,No,No,Pop,No,Yes,3,3,8,6,No effect
25,8/28/2022,4:13:11,3,Yes,Yes,Yes,Rock,Yes,Yes,10,6,8,10,Improve
26,8/28/2022,4:38:14,2,No,No,No,Pop,Yes,Yes,7,4,2,5,Improve
27,8/28/2022,4:40:36,12,Yes,Yes,Yes,Rock,Yes,Yes,8,6,10,5,Improve
28,8/28/2022,5:05:51,6,Yes,Yes,Yes,Pop,No,Yes,3,2,1,2,Improve
29,8/28/2022,5:16:30,2,Yes,Yes,No,Pop,Yes,Yes,6,6,4,5,Improve
30,8/28/2022,8:36:27,1,Yes,No,No,Pop,Yes,No,8,2,1,5,Improve
31,8/28/2022,10:30:22,5,Yes,Yes,No,Rock,Yes,Yes,7,7,2,0,Improve
32,8/28/2022,10:38:05,2,Yes,No,No,Classical,No,No,4,4,4,3,No effect
33,8/28/2022,10:54:30,6,Yes,Yes,No,Metal,Yes,Yes,9,8,2,3,Improve
34,8/28/2022,10:59:53,4,No,No,No,Rock,Yes,Yes,5,6,6,1,Improve
35,8/28/2022,11:08:51,1,Yes,No,No,Classical,No,No,0,0,0,0,No effect
36,8/28/2022,11:13:25,5,Yes,Yes,No,Pop,Yes,No,3,2,1,1,Improve
37,8/28/2022,11:25:49,4,Yes,No,No,Pop,No,Yes,6,8,0,2,Improve
38,8/28/2022,11:27:15,3,Yes,No,No,Pop,Yes,No,2,0,4,0,No effect
39,8/28/2022,11:36:35,0.5,No,No,No,Rock,No,Yes,9,8,1,0,No effect
40,8/28/2022,11:39:21,4,Yes,No,No,EDM,Yes,No,7,2,8,6,Improve
41,8/28/2022,11:50:31,2,Yes,Yes,Yes,Video game music,Yes,No,4,2,3,4,Improve
42,8/28/2022,11:54:45,5,Yes,Yes,No,Rock,Yes,No,7,6,5,0,Improve
43,8/28/2022,11:55:54,0.25,No,No,No,Video game music,Yes,No,3,2,10,0,No effect
44,8/28/2022,11:58:48,3,Yes,No,No,Classical,Yes,Yes,6,6,8,2,Improve
45,8/28/2022,12:08:29,4,Yes,No,No,Metal,Yes,Yes,1,0,8,2,No effect
46,8/28/2022,12:12:35,1,Yes,Yes,Yes,Folk,No,No,7,3,1,5,Improve
47,8/28/2022,12:15:02,1,No,Yes,Yes,Classical,No,No,8,9,3,0,No effect
48,8/28/2022,12:23:52,3,Yes,No,No,Rock,Yes,Yes,9,6,4,3,Improve
49,8/28/2022,12:30:08,5,Yes,No,Yes,Metal,Yes,Yes,7,9,5,0,Improve
50,8/28/2022,12:32:09,3,Yes,No,No,Pop,No,Yes,7,4,2,4,No effect
51,8/28/2022,12:37:17,2,Yes,Yes,No,EDM,Yes,No,0,0,0,0,Improve
52,8/28/2022,12:39:49,6,Yes,No,No,K pop,Yes,Yes,7,8,7,5,Improve
53,8/28/2022,12:52:19,1,No,No,No,Rap,No,Yes,10,6,3,10,No effect
54,8/28/2022,12:53:01,12,Yes,No,No,Pop,Yes,Yes,3,7,5,5,No effect
55,8/28/2022,12:54:35,4,Yes,No,Yes,Rock,Yes,Yes,8,7,4,3,Improve
56,8/28/2022,13:01:42,2,Yes,Yes,No,Classical,Yes,No,0,0,1,3,Improve
57,8/28/2022,13:05:46,6,Yes,No,No,Rock,Yes,No,8,6,2,10,No effect
58,8/28/2022,13:08:24,0,Yes,No,No,Rock,No,Yes,9,0,10,0,No effect
59,8/28/2022,13:09:53,7,Yes,No,No,Folk,Yes,Yes,6,4,2,3,Improve
60,8/28/2022,13:18:19,1,Yes,Yes,No,Video game music,No,No,7,0,0,2,Improve
61,8/28/2022,13:22:36,1,No,Yes,No,K pop,Yes,Yes,10,1,0,0,Improve
62,8/28/2022,13:22:53,1,No,Yes,No,Rock,Yes,No,8,7,0,5,Improve
63,8/28/2022,13:34:00,2,Yes,Yes,No,Rock,No,No,3,2,6,7,Improve
64,8/28/2022,13:34:27,2,No,No,No,Metal,No,Yes,5,5,3,1,No effect
65,8/28/2022,13:42:20,5,Yes,No,No,Rock,No,Yes,10,10,3,1,Worsen
66,8/28/2022,13:43:06,6,Yes,No,No,Metal,Yes,Yes,5,4,10,2,Improve
67,8/28/2022,13:46:03,3,No,No,No,Rock,Yes,Yes,0,0,8,0,No effect
68,8/28/2022,13:48:11,4,No,No,No,Hip hop,Yes,No,8,8,5,10,Improve
69,8/28/2022,13:55:45,3,Yes,Yes,Yes,Metal,Yes,Yes,10,7,8,0,Improve
70,8/28/2022,13:57:47,2,Yes,Yes,Yes,Rock,Yes,No,7,3,1,1,Improve
71,8/28/2022,13:59:16,3,Yes,No,No,Rock,Yes,No,8,7,4,0,Improve
72,8/28/2022,14:00:18,2,Yes,No,No,Rock,Yes,Yes,10,2,0,5,No effect
73,8/28/2022,14:01:08,4,Yes,No,No,Rock,No,Yes,9,8,1,2,Improve
74,8/28/2022,14:02:12,2,Yes,Yes,Yes,Hip hop,Yes,Yes,6,3,1,1,Improve
75,8/28/2022,14:04:09,0.5,No,No,No,Hip hop,No,No,7,7,0,1,No effect
76,8/28/2022,14:04:20,5,Yes,Yes,Yes,Jazz,Yes,Yes,7,7,8,4,Improve
77,8/28/2022,14:07:29,5,Yes,No,No,Metal,Yes,Yes,4,1,0,0,Improve
78,8/28/2022,14:08:57,10,Yes,No,No,R&B,Yes,Yes,7,2,1,5,Improve
79,8/28/2022,14:10:04,2,No,No,No,EDM,No,Yes,9,0,5,10,Improve
80,8/28/2022,14:10:17,4,Yes,No,No,Hip hop,Yes,Yes,2,7,1,1,Improve
81,8/28/2022,14:12:55,5,No,Yes,Yes,Rock,Yes,Yes,10,8,7,0,Improve
82,8/28/2022,14:14:48,3,Yes,No,No,Jazz,Yes,No,3,0,0,0,Improve
83,8/28/2022,14:18:22,2,Yes,No,No,K pop,Yes,Yes,7,8,5,1,No effect
84,8/28/2022,14:24:10,2.5,Yes,Yes,Yes,Rock,Yes,Yes,2,1,0,0,Improve
85,8/28/2022,14:25:08,3,Yes,No,No,R&B,Yes,Yes,5,4,0,1,Improve
86,8/28/2022,14:26:12,1,Yes,No,No,Rock,No,No,9,10,6,10,No effect
87,8/28/2022,14:29:29,7,Yes,Yes,No,Jazz,No,No,2,0,0,0,Improve
88,8/28/2022,14:30:34,1,No,No,No,Metal,No,Yes,5,2,5,1,Improve
89,8/28/2022,14:38:19,1,No,No,No,R&B,No,No,3,2,0,0,No effect
90,8/28/2022,14:41:04,3,Yes,No,No,Hip hop,No,No,2,0,7,0,No effect
91,8/28/2022,14:45:44,5,Yes,Yes,No,Metal,Yes,No,7,6,6,2,No effect
92,8/28/2022,14:47:08,6,Yes,Yes,Yes,Video game music,Yes,Yes,5,4,8,3,No effect
93,8/28/2022,14:49:18,4,Yes,No,No,Classical,Yes,Yes,4,6,5,3,Improve
94,8/28/2022,14:51:02,1,Yes,No,No,Rock,Yes,No,6,2,3,1,Improve
95,8/28/2022,14:58:17,4,Yes,No,No,Video game music,Yes,No,8,2,1,6,Improve
96,8/28/2022,14:59:05,10,Yes,No,No,Metal,Yes,Yes,9,6,0,6,Improve
97,8/28/2022,15:02:14,3,No,No,Yes,EDM,Yes,Yes,0,3,7,0,Improve
98,8/28/2022,15:03:51,2,No,No,No,Rock,Yes,No,8,9,6,2,Improve
99,8/28/2022,15:03:56,4,Yes,No,No,Metal,Yes,Yes,4,1,1,1,Improve
100,8/28/2022,15:07:16,8,Yes,No,No,Rock,No,No,8,7,5,0,Improve
101,8/28/2022,15:09:31,2,No,Yes,Yes,Metal,Yes,Yes,3,4,6,1,Improve
102,8/28/2022,15:22:00,0.5,No,Yes,No,Classical,No,No,1,1,3,1,Improve
103,8/28/2022,15:32:38,5,Yes,No,No,Metal,Yes,No,10,8,6,7,No effect
104,8/28/2022,15:41:56,1,No,No,No,Rock,Yes,No,6,6,2,0,No effect
105,8/28/2022,16:04:58,3,Yes,No,No,Rock,Yes,Yes,6,7,0,0,Improve
106,8/28/2022,16:07:28,2,Yes,Yes,No,Metal,Yes,Yes,8,4,10,0,No effect
107,8/28/2022,16:07:51,3,Yes,No,No,Pop,No,Yes,9,7,6,2,No effect
108,8/28/2022,16:08:12,2,Yes,Yes,No,Pop,Yes,No,7,4,6,5,Improve
109,8/28/2022,16:13:28,4,Yes,No,No,Metal,Yes,Yes,6,7,0,0,No effect
110,8/28/2022,16:15:08,3,Yes,No,Yes,Metal,Yes,No,10,0,10,10,Improve
111,8/28/2022,16:15:08,2,Yes,No,No,Metal,Yes,Yes,6,3,0,1,Improve
112,8/28/2022,16:15:39,3,No,No,No,Pop,No,No,7,5,5,3,Improve
113,8/28/2022,16:15:58,4,Yes,No,No,Pop,Yes,No,7,10,5,0,Improve
114,8/28/2022,16:23:43,2,Yes,Yes,No,Rock,Yes,Yes,8,6,0,0,Improve
115,8/28/2022,16:27:00,8,Yes,No,No,K pop,Yes,Yes,4,3,0,0,Improve
116,8/28/2022,16:30:17,4,Yes,No,No,Hip hop,Yes,Yes,7,6,7,5,Improve
117,8/28/2022,16:30:36,2,No,Yes,No,Metal,No,Yes,7,3,2,3,Improve
118,8/28/2022,16:32:40,1,No,No,Yes,EDM,Yes,No,2,7,5,0,Improve
119,8/28/2022,16:34:03,3,Yes,No,No,Rock,Yes,No,7,8,6,5,Improve
120,8/28/2022,16:37:00,0.5,No,No,No,Folk,Yes,No,4,7,1,0,Improve
121,8/28/2022,16:37:10,2,No,No,No,Rock,Yes,Yes,7,8,5,1,No effect
122,8/28/2022,16:53:26,3,Yes,No,No,Rock,Yes,Yes,5,2,8,6,Improve
123,8/28/2022,16:58:35,2,Yes,Yes,Yes,Hip hop,Yes,Yes,10,7,4,2,Improve
124,8/28/2022,17:14:08,1,No,No,No,Rock,Yes,No,6,5,0,0,No effect
125,8/28/2022,17:14:32,5,Yes,No,No,Jazz,Yes,Yes,7,2,3,1,Improve
126,8/28/2022,17:15:18,10,No,Yes,Yes,EDM,No,Yes,4,7,7,3,Improve
127,8/28/2022,17:15:27,4,Yes,Yes,Yes,Pop,Yes,Yes,4,5,6,5,Improve
128,8/28/2022,17:19:10,2,Yes,Yes,Yes,Rock,Yes,No,7,10,5,6,Worsen
129,8/28/2022,17:27:12,1,No,No,No,Metal,Yes,No,6,4,5,0,Improve
130,8/28/2022,17:32:18,6,Yes,No,No,Rock,Yes,Yes,4,1,3,1,No effect
131,8/28/2022,17:33:12,1,Yes,Yes,No,Video game music,Yes,No,6,6,1,2,Improve
132,8/28/2022,17:37:42,6,Yes,No,No,Rock,No,No,10,8,7,1,Improve
133,8/28/2022,17:40:15,7,Yes,No,No,Pop,Yes,Yes,10,8,2,8,Improve
134,8/28/2022,17:41:15,1,No,No,No,EDM,Yes,No,3,6,2,0,No effect
135,8/28/2022,17:43:22,3,Yes,Yes,No,Rock,Yes,No,8,9,2,0,Improve
136,8/28/2022,17:54:30,2,Yes,Yes,No,Video game music,No,Yes,8,3,8,7,Improve
137,8/28/2022,17:56:27,3,Yes,Yes,No,Classical,Yes,No,3,3,1,2,Improve
138,8/28/2022,18:02:14,2,Yes,Yes,No,Pop,Yes,Yes,6,5,2,0,Improve
139,8/28/2022,18:03:27,3,Yes,No,Yes,Pop,No,No,0,0,4,0,No effect
140,8/28/2022,18:03:50,1.5,Yes,No,No,Pop,No,No,6,5,0,2,Improve
141,8/28/2022,18:06:24,4,Yes,No,No,Lofi,Yes,Yes,3,8,0,0,Improve
142,8/28/2022,18:08:44,2,Yes,No,No,Rap,Yes,Yes,1,8,0,0,No effect
143,8/28/2022,18:13:47,10,Yes,No,No,Metal,Yes,Yes,5,6,6,3,Improve
144,8/28/2022,18:17:00,7,Yes,No,No,Pop,Yes,Yes,0,0,0,0,Improve
145,8/28/2022,18:17:46,1,Yes,No,No,EDM,No,No,0,8,0,0,Improve
146,8/28/2022,18:18:12,2,No,No,No,Metal,No,No,3,7,0,0,Improve
147,8/28/2022,18:18:18,6,Yes,Yes,Yes,Jazz,Yes,Yes,8,8,8,5,Improve
148,8/28/2022,18:18:24,2,Yes,Yes,Yes,Jazz,Yes,No,5,2,3,4,Improve
149,8/28/2022,18:21:19,3,Yes,Yes,No,Folk,Yes,No,8,8,3,0,Improve
150,8/28/2022,18:28:48,8,Yes,No,No,EDM,Yes,No,6,8,8,0,Improve
151,8/28/2022,18:30:21,3,Yes,No,No,Pop,Yes,Yes,6,8,6,0,Worsen
152,8/28/2022,18:33:32,3,Yes,Yes,Yes,Rock,Yes,Yes,6,6,7,5,Improve
153,8/28/2022,18:35:17,3,Yes,No,No,Rock,No,No,9,10,3,0,No effect
154,8/28/2022,18:51:10,2,No,Yes,No,Pop,No,No,7,7,5,0,Improve
155,8/28/2022,18:53:03,1,No,No,No,Rock,No,No,10,7,2,8,No effect
156,8/28/2022,18:54:47,2,Yes,Yes,No,Metal,Yes,Yes,1,3,0,6,No effect
157,8/28/2022,18:55:44,2,Yes,Yes,No,Pop,No,Yes,5,3,2,1,Improve
158,8/28/2022,18:56:54,4,Yes,No,No,Rock,Yes,Yes,6,8,1,6,Improve
159,8/28/2022,18:57:39,4,Yes,No,No,Pop,Yes,No,7,2,0,7,Improve
160,8/28/2022,18:58:09,1,Yes,Yes,No,Metal,Yes,Yes,6,9,9,0,Improve
161,8/28/2022,18:58:27,2,No,No,No,R&B,No,Yes,1,1,4,1,No effect
162,8/28/2022,18:59:40,2,Yes,No,No,K pop,No,Yes,0,2,0,0,Improve
163,8/28/2022,18:59:53,1,Yes,No,No,EDM,Yes,No,8,8,2,0,Improve
164,8/28/2022,19:04:05,3,Yes,Yes,Yes,Metal,Yes,No,3,3,7,0,No effect
165,8/28/2022,19:04:26,10,Yes,No,No,Metal,Yes,Yes,8,8,3,0,Improve
166,8/28/2022,19:07:16,1,No,No,Yes,Metal,Yes,Yes,6,4,0,3,No effect
167,8/28/2022,19:10:07,3,Yes,No,No,Metal,Yes,Yes,1,0,0,0,Improve
168,8/28/2022,19:12:02,1.5,Yes,No,No,Rock,No,No,5,5,4,4,Improve
169,8/28/2022,19:16:43,3,Yes,Yes,No,K pop,Yes,Yes,8,9,6,0,No effect
170,8/28/2022,19:18:53,2.5,Yes,Yes,No,Rock,No,Yes,8,8,7,6,Improve
171,8/28/2022,19:20:03,2,Yes,No,No,Gospel,No,No,3,0,2,0,Improve
172,8/28/2022,19:22:30,5,Yes,No,No,Metal,No,Yes,0,5,1,0,No effect
173,8/28/2022,19:26:23,2,Yes,No,No,Pop,Yes,No,6,3,0,0,Improve
174,8/28/2022,19:27:46,2,No,No,Yes,Metal,No,No,1,7,5,1,Improve
175,8/28/2022,19:29:08,2,No,Yes,Yes,Video game music,Yes,No,4,2,1,1,No effect
176,8/28/2022,19:29:25,2,Yes,No,No,R&B,No,Yes,5,6,0,1,No effect
177,8/28/2022,19:30:42,1,Yes,No,No,Rock,Yes,Yes,1,0,0,0,No effect
178,8/28/2022,19:30:49,1.5,Yes,No,No,Pop,Yes,No,8,6,5,2,Improve
179,8/28/2022,19:35:58,5,Yes,Yes,Yes,Folk,Yes,Yes,9,4,0,3,Improve
180,8/28/2022,19:40:03,0.5,No,No,No,Rock,Yes,Yes,4,6,6,4,Improve
181,8/28/2022,19:46:02,2,Yes,No,No,Rock,No,Yes,7,3,1,5,Improve
182,8/28/2022,19:46:57,0.5,No,No,No,Pop,No,No,10,3,1,0,No effect
183,8/28/2022,19:50:30,2,Yes,No,No,Rock,No,Yes,8,8,3,0,Improve
184,8/28/2022,19:56:46,2.5,Yes,No,No,R&B,No,No,7,6,5,4,Improve
185,8/28/2022,19:59:01,2,Yes,Yes,No,K pop,Yes,Yes,7,2,3,5,Improve
186,8/28/2022,20:01:29,2,No,No,No,Pop,Yes,No,10,3.5,5,10,Improve
187,8/28/2022,20:04:49,1,Yes,No,No,Pop,Yes,Yes,7,5,1,2,Improve
188,8/28/2022,20:12:05,4,Yes,Yes,No,Classical,No,Yes,6,8,9,5,Improve
189,8/28/2022,20:14:02,5,Yes,No,No,Rock,No,No,2,9,2,1,No effect
190,8/28/2022,20:14:47,2,Yes,Yes,Yes,Rock,No,No,7,4,10,2,Improve
191,8/28/2022,20:15:28,2,Yes,Yes,No,Rock,Yes,Yes,7,5,6,0,Improve
192,8/28/2022,20:20:20,2,Yes,No,No,R&B,Yes,Yes,6,1,0,0,Improve
193,8/28/2022,20:20:52,1,Yes,Yes,No,Video game music,Yes,Yes,3,6,1,1,Improve
194,8/28/2022,20:32:41,4,Yes,No,No,R&B,Yes,Yes,9,10,3,0,Improve
195,8/28/2022,20:33:43,1,No,Yes,No,Rock,Yes,No,8,5,8,9,Improve
196,8/28/2022,20:37:41,4,Yes,No,No,Pop,No,No,8,7,7,3,Improve
197,8/28/2022,20:43:43,5,Yes,No,No,Rock,Yes,Yes,9,9,9,3,No effect
198,8/28/2022,20:50:37,5,Yes,No,No,Country,Yes,No,9,8,9,7,Improve
199,8/28/2022,20:57:16,7,Yes,No,No,Rock,Yes,Yes,9,3,7,8,Improve
200,8/28/2022,20:57:57,2,Yes,No,No,Rock,Yes,No,10,8,6,2,Improve
201,8/28/2022,21:01:18,3,Yes,No,No,Rock,Yes,Yes,9,6,3,0,Improve
202,8/28/2022,21:03:23,2,Yes,No,No,Pop,No,No,7,7,8,3,Improve
203,8/28/2022,21:06:09,3,Yes,No,Yes,Rock,Yes,Yes,9,10,4,0,Improve
204,8/28/2022,21:11:09,3,Yes,No,No,Folk,Yes,Yes,9,9,8,2,Improve
205,8/28/2022,21:14:34,3,Yes,No,No,Rock,No,No,9,10,3,9,Improve
206,8/28/2022,21:14:51,5,Yes,Yes,Yes,Metal,Yes,Yes,10,9,8,8,Improve
207,8/28/2022,21:23:07,6,Yes,No,Yes,Classical,No,Yes,6,5,6,8,Improve
208,8/28/2022,21:24:10,2,No,No,No,R&B,No,Yes,8,6,10,3,Improve
209,8/28/2022,21:26:19,2,No,No,No,Metal,Yes,No,8,3,6,4,Improve
210,8/28/2022,21:28:30,1,No,Yes,No,Rock,Yes,No,4,2,1,3,Improve
211,8/28/2022,21:30:33,1,Yes,No,No,Pop,Yes,Yes,2,1,1,1,No effect
212,8/28/2022,21:30:41,3,No,No,No,Rock,Yes,No,10,10,7,3,Improve
213,8/28/2022,21:31:40,3,Yes,No,No,Rap,Yes,Yes,8,9,0,0,Improve
214,8/28/2022,21:47:26,1,No,No,No,Pop,No,Yes,4,9,6,2,No effect
215,8/28/2022,21:48:12,6,Yes,No,No,Rock,Yes,Yes,4,2,0,0,Improve
216,8/28/2022,21:48:29,4,Yes,No,No,Rock,Yes,No,9,2,7,7,Improve
217,8/28/2022,21:52:44,2,Yes,No,No,Metal,Yes,Yes,8,6,7,5,Improve
218,8/28/2022,21:54:05,2,Yes,Yes,No,Folk,Yes,Yes,6,5,4,2,Improve
219,8/28/2022,21:55:05,3,Yes,No,No,Rock,Yes,Yes,8,5,2,3,Improve
220,8/28/2022,21:55:22,8,Yes,Yes,Yes,Video game music,No,Yes,7,6,6,1,No effect
221,8/28/2022,22:03:40,3,Yes,Yes,No,Rock,Yes,No,10,2,0,0,Improve
222,8/28/2022,22:04:16,2,Yes,No,No,K pop,Yes,Yes,6,0,0,0,Improve
223,8/28/2022,22:05:53,7,Yes,No,No,Pop,No,Yes,2,0,1,0,Improve
224,8/28/2022,22:06:46,12,Yes,No,No,K pop,Yes,Yes,3,7,5,2,Improve
225,8/28/2022,22:09:11,9,Yes,No,No,Pop,Yes,Yes,9,0,2,0,Improve
226,8/28/2022,22:10:24,2,Yes,No,No,Pop,Yes,Yes,5,4,1,1,Improve
227,8/28/2022,22:11:31,1,Yes,No,No,Folk,No,Yes,8,4,0,1,Improve
228,8/28/2022,22:13:00,1,No,No,No,Country,No,No,8,10,2,0,Improve
229,8/28/2022,22:14:01,2,Yes,No,No,Metal,Yes,Yes,3,6,2,1,No effect
230,8/28/2022,22:14:30,4,Yes,No,No,Rock,No,No,4,4,2,1,Improve
231,8/28/2022,22:21:12,2,Yes,Yes,No,Rock,Yes,Yes,7,5,2,6,Improve
232,8/28/2022,22:30:17,6,Yes,No,No,Rock,Yes,No,3,2,0,0,No effect
233,8/28/2022,22:32:47,4,Yes,Yes,Yes,Country,Yes,Yes,9,9,5,1,Improve
234,8/28/2022,22:38:36,1,No,No,No,Rock,No,No,3,10,4,1,No effect
235,8/28/2022,22:39:24,6,Yes,No,No,Folk,Yes,Yes,9,0,5,0,No effect
236,8/28/2022,22:39:58,2,No,Yes,No,Metal,Yes,No,7,6,6,5,Improve
237,8/28/2022,22:49:17,5,Yes,No,Yes,Folk,Yes,Yes,0,9,4,0,Improve
238,8/28/2022,22:51:01,1.5,No,No,No,Pop,Yes,Yes,2,2,2,1,No effect
239,8/28/2022,22:51:30,5,Yes,Yes,Yes,Metal,Yes,Yes,6,9,2,1,Improve
240,8/28/2022,22:53:43,2,Yes,No,Yes,EDM,Yes,No,6,4,1,0,Improve
241,8/28/2022,22:58:10,4,Yes,Yes,No,K pop,Yes,Yes,8,9,4,0,Improve
242,8/28/2022,23:04:08,2,Yes,Yes,Yes,Rock,Yes,No,6,7,4,3,Improve
243,8/28/2022,23:08:27,5,Yes,Yes,Yes,Classical,Yes,Yes,7,2,2,0,Improve
244,8/28/2022,23:19:35,6,Yes,No,No,EDM,Yes,Yes,8,6,5,6,No effect
245,8/28/2022,23:23:20,1,No,No,No,Rock,No,Yes,3,10,0,0,Worsen
246,8/28/2022,23:23:41,6,Yes,Yes,No,Pop,Yes,Yes,9,4,9,7,Improve
247,8/28/2022,23:23:50,4,No,Yes,No,Classical,Yes,Yes,7,9,2,8,Worsen
248,8/28/2022,23:26:58,2,No,No,No,EDM,No,Yes,10,3,1,4,Improve
249,8/28/2022,23:34:19,2,No,Yes,Yes,Metal,No,Yes,0,0,0,1,No effect
250,8/28/2022,23:34:37,2,Yes,No,No,EDM,No,No,9,6,1,7,No effect
251,8/28/2022,23:40:54,4,Yes,No,Yes,Lofi,Yes,No,7,1,3,5,Improve
252,8/28/2022,23:42:24,2,Yes,Yes,No,EDM,No,Yes,9,7,5,7,Improve
253,8/28/2022,23:47:13,6,Yes,No,No,Rap,Yes,Yes,3,1,2,7,Improve
254,8/28/2022,23:50:25,3,Yes,No,No,Hip hop,Yes,Yes,6,6,8,0,Improve
255,8/28/2022,23:54:34,5,Yes,No,No,Rock,Yes,Yes,10,6,0,4,Improve
256,8/28/2022,23:56:06,0.5,Yes,Yes,No,Video game music,No,Yes,6,3,1,1,Improve
257,8/29/2022,0:03:43,1,Yes,No,No,Video game music,Yes,Yes,3,3,0,7,No effect
